"100000195",1,"X",1001,"MATH"
"100000023",1,"X",1001,"MATH"
"100000123",2,"X",1034,"BIOL"
"100000023",2,"X",1034,"BIOL"
"100000065",1,"X",1001,"MATH"
"100000066",2,"X",1034,"BIOL"
"100000067",2,"X",1034,"BIOL"
"100000068",1,"X",1001,"MATH"
"100000069",2,"X",1034,"BIOL"
"100000070",2,"X",1034,"BIOL"
"100000071",2,"X",1034,"BIOL"
"100000072",1,"X",1001,"MATH"
"100000073",2,"X",1034,"BIOL"
"100000074",2,"X",1034,"BIOL"
"100000075",1,"X",1001,"MATH"
"100000076",2,"X",1034,"BIOL"
"100000077",1,"X",1001,"MATH"
"100000195",1,"X",1047,"APSC"
"100000023",1,"X",1047,"APSC"
"100000123",2,"A",1048,"PHYS"
"100000023",2,"A",1048,"PHYS"
"100000065",1,"X",1047,"APSC"
"100000066",1,"X",1047,"APSC"
"100000067",2,"A",1048,"PHYS"
"100000068",2,"A",1048,"PHYS"
"100000069",2,"A",1048,"PHYS"
"100000070",1,"X",1047,"APSC"
"100000071",1,"X",1047,"APSC"
"100000072",2,"A",1048,"PHYS"
"100000073",2,"A",1048,"PHYS"
"100000074",1,"X",1047,"APSC"
"100000075",1,"X",1047,"APSC"
"100000076",2,"A",1048,"PHYS"
"100000077",1,"X",1047,"APSC"
"100000195",1,"X",1053,"APSC"
"100000023",1,"X",1053,"APSC"
"100000123",2,"A",1061,"CHEM"
"100000023",1,"X",1053,"APSC"
"100000065",1,"X",1053,"APSC"
"100000066",2,"A",1061,"CHEM"
"100000067",2,"A",1061,"CHEM"
"100000068",1,"X",1053,"APSC"
"100000069",2,"A",1061,"CHEM"
"100000070",2,"A",1061,"CHEM"
"100000071",1,"X",1053,"APSC"
"100000072",2,"A",1061,"CHEM"
"100000073",2,"A",1061,"CHEM"
"100000074",1,"X",1053,"APSC"
"100000075",2,"A",1061,"CHEM"
"100000076",2,"A",1061,"CHEM"
"100000077",1,"X",1053,"APSC"
"100000195",1,"X",1113,"COMP"
"100000023",2,"X",1123,"COMP"
"100000123",1,"X",1147,"COMP"
"100000023",2,"X",1167,"GEOL"
"100000065",2,"X",1169,"ENVS"
"100000066",2,"A",1193,"MATH"
"100000067",2,"X",1211,"PSYC"
"100000068",2,"X",1330,"COMP"
"100000069",2,"X",4945,"NUTR"
"100000070",1,"X",4934,"COMP"
"100000071",2,"X",4906,"ENVS"
"100000072",2,"X",4889,"GEOL"
"100000073",1,"X",4879,"COMP"
"100000074",2,"X",4820,"NUTR"
"100000075",1,"X",4812,"MATH"
"100000076",1,"X",4812,"APSC"
"100000077",1,"X",4707,"PSYC"
"100000195",1,"X",4697,"BIOL"
"100000023",2,"X",4640,"CHEM"
"100000123",1,"X",4613,"PHYS"
"100000023",1,"X",4601,"COMP"
"100000065",2,"A",4567,"CHEM"
"100000066",1,"X",4499,"GEOL"
"100000067",1,"X",4389,"MATH"
"100000068",2,"X",4385,"GEOL"
"100000069",2,"X",4334,"GEOL"
"100000070",1,"X",4282,"GEOL"
"100000071",1,"X",4257,"NUTR"
"100000072",1,"X",4146,"COMP"
"100000073",2,"A",4143,"GEOL"
"100000074",2,"X",4133,"APSC"
"100000075",2,"A",4121,"APSC"
"100000076",2,"X",4102,"MATH"
"100000077",2,"X",4068,"PHYS"
"100000195",1,"X",4026,"BIOL"
"100000023",2,"X",3907,"PSYC"
"100000123",1,"X",3863,"PHYS"
"100000023",1,"X",3858,"MATH"
"100000065",1,"X",3839,"APSC"
"100000066",1,"X",3747,"APSC"
"100000067",1,"X",3716,"MATH"
"100000068",1,"X",3714,"ENVS"
"100000069",1,"X",3712,"BIOL"
"100000070",1,"X",3670,"COMP"
"100000071",1,"X",3650,"PSYC"
"100000072",1,"X",3611,"APSC"
"100000073",1,"X",3600,"APSC"
"100000074",2,"X",3547,"BIOL"
"100000075",1,"X",3467,"GEOL"
"100000076",1,"X",4934,"COMP"
"100000077",2,"X",3458,"MATH"
"100000195",1,"X",3394,"PHYS"
"100000023",2,"X",3352,"CHEM"
"100000123",2,"A",3252,"PHYS"
"100000023",1,"X",3235,"GEOL"
"100000065",2,"X",3205,"APSC"
"100000066",1,"X",3199,"GEOL"
"100000067",2,"X",3178,"APSC"
"100000068",1,"X",3102,"NUTR"
"100000069",1,"X",3086,"GEOL"
"100000070",2,"X",3019,"APSC"
"100000071",2,"A",3015,"NUTR"
"100000072",1,"X",3006,"APSC"
"100000073",1,"X",2979,"APSC"
"100000074",2,"X",2948,"PHYS"
"100000075",1,"X",2924,"NUTR"
"100000076",2,"X",2912,"BIOL"
"100000077",2,"A",2887,"ENVS"
"100000195",2,"X",2862,"COMP"
"100000023",1,"X",2663,"COMP"
"100000123",1,"X",2639,"ENVS"
"100000023",2,"X",1382,"APSC"
"100000065",2,"A",1402,"ENVS"
"100000066",1,"X",1413,"APSC"
"100000067",2,"X",1467,"PHYS"
"100000068",1,"A",1489,"COMP"
"100000069",1,"X",1502,"PSYC"
"100000070",1,"X",1514,"PHYS"
"100000071",1,"X",1516,"CHEM"
"100000072",2,"X",1606,"PSYC"
"100000073",2,"B",1674,"COMP"
"100000074",2,"A",1689,"CHEM"
"100000075",1,"X",1694,"NUTR"
"100000076",1,"X",1707,"CHEM"
"100000077",2,"X",1763,"GEOL"
